gold,silver,bronze,university,year,source
39,24,14,ucc,2018,"myjcr, uds360, ug"
11,13,9,uds,2018,
5,10,22,ug,2018,
5,11,3,uew,2018,
4,5,3,knust,2018,
0,0,1,uenr,2018,
0,0,0,upsa,2018,
0,0,0,umat,2018,
28,19,5,ucc,2017,
0,0,3,uds,2017,
10,12,11,ug,2017,
5,11,9,uew,2017,
2,2,5,knust,2017,
0,0,0,uenr,2017,
0,0,0,upsa,2017,
0,0,0,umat,2017,
25,23,15,ucc,2016,
0,0,1,uds,2016,
15,11,18,ug,2016,
0,0,0,uew,2016,
4,7,12,knust,2016,
0,0,0,uenr,2016,
0,2,1,upsa,2016,
0,0,0,umat,2016,
20,12,9,ucc,2015,
0,0,0,uds,2015,
3,7,10,ug,2015,
12,7,10,uew,2015,
5,14,7,knust,2015,
0,0,0,uenr,2015,
0,0,2,upsa,2015,
0,0,0,umat,2015,
32,31,8,ucc,2014,
0,0,0,uds,2014,
20,19,13,ug,2014,
8,7,17,uew,2014,
6,8,27,knust,2014,
0,0,0,uenr,2014,
0,1,1,upsa,2014,
0,0,0,umat,2014,
