"","x"
"1","https://medals.org.uk/abkhazia/abkhazia-text.htm"
"2","https://medals.org.uk/abu-dhabi/abu-dhabi-text.htm"
"3","https://medals.org.uk/afghanistan/ir-afghanistan/ir-afghanistan-text.htm"
"4","https://medals.org.uk/albania/albania-republic/albania-republic-text.htm"
"5","https://medals.org.uk/algeria/pdr-algeria/pdr-algeria-text.htm"
"6","https://medals.org.uk/andorra/andorra-text.htm"
"7","https://medals.org.uk/angola/angola-text.htm"
"8","https://medals.org.uk/anhalt/anhalt-text.htm"
"9","https://medals.org.uk/anjouan/anjouan-text.htm"
"10","https://medals.org.uk/annam/annam-text.htm"
"11","https://medals.org.uk/antigua/antigua-text.htm"
"12","https://medals.org.uk/aragon/aragon-text.htm"
"13","https://medals.org.uk/argentina/argentina-text.htm"
"14","https://medals.org.uk/armenia/armenia-text.htm"
"15","https://medals.org.uk/auch/auch-text.htm"
"16","https://medals.org.uk/australia/australia-text.htm"
"17","https://medals.org.uk/austria/austria-republic/austria-republic-text.htm"
"18","https://medals.org.uk/azerbaijan/azerbaijan-text.htm"
"19","https://medals.org.uk/baden/baden-text.htm"
"20","https://medals.org.uk/bahamas/bahamas-text.htm"
"21","https://medals.org.uk/bahrain/bahrain-text.htm"
"22","https://medals.org.uk/bangladesh/bangladesh-text.htm"
"23","https://medals.org.uk/barbados/barbados-text.htm"
"24","https://medals.org.uk/barcelona/barcelona-text.htm"
"25","https://medals.org.uk/bavaria/bavaria-text.htm"
"26","https://medals.org.uk/belarus/belarus-text.htm"
"27","https://medals.org.uk/belgium/belgium-text.htm"
"28","https://medals.org.uk/belize/belize-text.htm"
"29","https://medals.org.uk/benin/benin/benin-text.htm"
"30","https://medals.org.uk/bhutan/bhutan-text.htm"
"31","https://medals.org.uk/bolivia/bolivia-text.htm"
"32","https://medals.org.uk/bosnia/bosnia-text.htm"
"33","https://medals.org.uk/botswana/botswana-text.htm"
"34","https://medals.org.uk/brazil/fr-brazil/fr-brazil-text.htm"
"35","https://medals.org.uk/brunei/brunei-text.htm"
