"","X","country","medal_name","medal_subname","instituted","url","continent"
"1",1,"Abkhazia"," Medal of Hero of Abkhazia","<U+0413><U+0415><U+0420><U+041E><U+0419> <U+0410><U+0411><U+0425><U+0410><U+0417><U+0418><U+0418>","1992","https://medals.org.uk/abkhazia/abkhazia001.htm",NA
"2",2,"Abkhazia"," Order of Honour and Glory","<U+0410><U+0445><U+044C><U+0434><U+0437>-<U+0430><U+043F><U+0448><U+0430>","2002","https://medals.org.uk/abkhazia/abkhazia002.htm",NA
"3",3,"Abkhazia"," Order of Leon","<U+041E><U+0420><U+0414><U+0415><U+041D> <U+041B><U+0415><U+041E><U+041D><U+0410>","1992","https://medals.org.uk/abkhazia/abkhazia004.htm",NA
"4",4,"Abkhazia"," Order of Courage","<U+041E><U+0440><U+0434><U+0435><U+043D> <U+041C><U+0443><U+0436><U+0435><U+0441><U+0442><U+0432><U+0430>","2007","https://medals.org.uk/abkhazia/abkhazia003.htm",NA
"5",5,"Abkhazia"," Medal for Bravery","<U+0410><U+0433><U+0443><U+043C><U+0448><U+0430><U+0440><U+0430><U+0437>","1992","https://medals.org.uk/abkhazia/abkhazia005.htm",NA
"6",6,"Abkhazia"," Medal ""For Military Valour""",NA,NA,"https://medals.org.uk/abkhazia/abkhazia016.htm",NA
"7",7,"Abkhazia"," Medal for Distinction in Military Service",NA,NA,"https://medals.org.uk/abkhazia/abkhazia006.htm",NA
"8",8,"Abkhazia"," Medal ""For Maintaining Peace In Abkhazia""",NA,NA,"https://medals.org.uk/abkhazia/abkhazia007.htm",NA
"9",9,"Abkhazia"," Medal for 10 Years of the Peacekeeping Mission in Abkhazia",NA,"2004","https://medals.org.uk/abkhazia/abkhazia008.htm",NA
"10",10,"Abkhazia"," Medal for the Liberation of Kodor",NA,NA,"https://medals.org.uk/abkhazia/abkhazia009.htm",NA
"11",11,"Abkhazia"," Jubilee Medal ""20 Years of Independence of Abkhazia""",NA,NA,"https://medals.org.uk/abkhazia/abkhazia011.htm",NA
"12",12,"Abkhazia"," Medal ""20 Years of the Ministry of Defence of the Republic of Abkhazia, 1992-2012""",NA,"2012","https://medals.org.uk/abkhazia/abkhazia017.htm",NA
"13",13,"Abkhazia"," Badge of Honour ""Veteran Guard""",NA,NA,"https://medals.org.uk/abkhazia/abkhazia012.htm",NA
"14",14,"Abkhazia"," Badge of Honour ""Patriotic War Veteran 1992-1993""",NA,NA,"https://medals.org.uk/abkhazia/abkhazia013.htm",NA
"15",15,"Abkhazia"," Ministry Of Internal Affairs Medal ""For Valour In Service""",NA,NA,"https://medals.org.uk/abkhazia/abkhazia010.htm",NA
"16",16,"Abkhazia"," Medal ""Lieutenant General Kharazia""",NA,NA,"https://medals.org.uk/abkhazia/abkhazia014.htm",NA
"17",17,"Abkhazia"," Medal ""For Combat Cooperation""",NA,NA,"https://medals.org.uk/abkhazia/abkhazia015.htm",NA
"18",18,"Abkhazia"," Medal for Participation in Peacekeeping Missions",NA,NA,"https://medals.org.uk/abkhazia/abkhazia018.htm",NA
"19",19,"Abu Dhabi"," Order of Al Nahayyan","Wisam Al Nahayyan",NA,"https://medals.org.uk/abu-dhabi/abu-dhabi001.htm",NA
"20",20,"Abu Dhabi"," Union Defence Forces Loyal Service Medal",NA,"1969","https://medals.org.uk/abu-dhabi/abu-dhabi002.htm",NA
"21",21,"Abu Dhabi"," Good Service Medal",NA,"1970","https://medals.org.uk/abu-dhabi/abu-dhabi003.htm",NA
"22",22,"Abu Dhabi"," Defence Force Medal",NA,NA,"https://medals.org.uk/abu-dhabi/abu-dhabi004.htm",NA
"23",23,"Abu Dhabi"," Defence Force Service Medal",NA,"1966","https://medals.org.uk/abu-dhabi/abu-dhabi005.htm",NA
"24",24,"Abu Dhabi"," Police Accession Day Medal",NA,NA,"https://medals.org.uk/abu-dhabi/abu-dhabi006.htm",NA
"25",25,"Abu Dhabi"," Defence Force Inauguration Medal",NA,"1996","https://medals.org.uk/abu-dhabi/abu-dhabi007.htm",NA
"26",26,"Abu Dhabi"," Independence Medal",NA,NA,"https://medals.org.uk/abu-dhabi/abu-dhabi008.htm",NA
"27",27,"Afghanistan"," Hewad (Homeland) Decoration",NA,NA,"https://medals.org.uk/afghanistan/ir-afghanistan/ir-afghanistan009.htm","Asia"
"28",28,"Afghanistan"," Da Azadi Lamar (Freedom Sun) Decoration",NA,NA,"https://medals.org.uk/afghanistan/ir-afghanistan/ir-afghanistan010.htm","Asia"
"29",29,"Afghanistan"," Ahmad Shah Ba Ba Decoration",NA,NA,"https://medals.org.uk/afghanistan/ir-afghanistan/ir-afghanistan011.htm","Asia"
"30",30,"Afghanistan"," Ahmad Shah Mahsoud Medal",NA,"2005","https://medals.org.uk/afghanistan/ir-afghanistan/ir-afghanistan005.htm","Asia"
