"","medal_name","medal_subname","instituted","url"
"1","Republic of Abkhazia: Medal of Hero of Abkhazia","<U+0413><U+0415><U+0420><U+041E><U+0419> <U+0410><U+0411><U+0425><U+0410><U+0417><U+0418><U+0418>","4 December 1992","https://medals.org.uk/abkhazia/abkhazia001.htm"
"2","Republic of Abkhazia: Order of Honour and Glory","<U+0410><U+0445><U+044C><U+0434><U+0437>-<U+0430><U+043F><U+0448><U+0430>","10 January 2002","https://medals.org.uk/abkhazia/abkhazia002.htm"
"3","Republic of Abkhazia: Order of Leon","<U+041E><U+0420><U+0414><U+0415><U+041D> <U+041B><U+0415><U+041E><U+041D><U+0410>","4 December 1992","https://medals.org.uk/abkhazia/abkhazia004.htm"
"4","Republic of Abkhazia: Order of Courage","<U+041E><U+0440><U+0434><U+0435><U+043D> <U+041C><U+0443><U+0436><U+0435><U+0441><U+0442><U+0432><U+0430>","2007","https://medals.org.uk/abkhazia/abkhazia003.htm"
"5","Republic of Abkhazia: Medal for Bravery","<U+0410><U+0433><U+0443><U+043C><U+0448><U+0430><U+0440><U+0430><U+0437>","4 December 1992","https://medals.org.uk/abkhazia/abkhazia005.htm"
"6","Republic of Abkhazia: Medal ""For Military Valour""",NA,"Unknown","https://medals.org.uk/abkhazia/abkhazia016.htm"
"7","Republic of Abkhazia: Medal for Distinction in Military Service",NA,"Unknown","https://medals.org.uk/abkhazia/abkhazia006.htm"
"8","Republic of Abkhazia: Medal ""For Maintaining Peace In Abkhazia""",NA,"Unknown","https://medals.org.uk/abkhazia/abkhazia007.htm"
"9","Republic of Abkhazia: Medal for 10 Years of the Peacekeeping Mission in Abkhazia",NA,"2004","https://medals.org.uk/abkhazia/abkhazia008.htm"
"10","Republic of Abkhazia: Medal for the Liberation of Kodor",NA,"Unknown","https://medals.org.uk/abkhazia/abkhazia009.htm"
"11","Republic of Abkhazia: Jubilee Medal ""20 Years of Independence of Abkhazia""",NA,"Unknown","https://medals.org.uk/abkhazia/abkhazia011.htm"
"12","Republic of Abkhazia: Medal ""20 Years of the Ministry of Defence of the Republic of Abkhazia, 1992-2012""",NA,"2012","https://medals.org.uk/abkhazia/abkhazia017.htm"
"13","Republic of Abkhazia: Badge of Honour ""Veteran Guard""",NA,"Unknown","https://medals.org.uk/abkhazia/abkhazia012.htm"
"14","Republic of Abkhazia: Badge of Honour ""Patriotic War Veteran 1992-1993""",NA,"Unknown","https://medals.org.uk/abkhazia/abkhazia013.htm"
"15","Republic of Abkhazia: Ministry Of Internal Affairs Medal ""For Valour In Service""",NA,"Unknown","https://medals.org.uk/abkhazia/abkhazia010.htm"
"16","Republic of Abkhazia: Medal ""Lieutenant General Kharazia""",NA,"Unknown","https://medals.org.uk/abkhazia/abkhazia014.htm"
"17","Republic of Abkhazia: Medal ""For Combat Cooperation""",NA,"Unknown","https://medals.org.uk/abkhazia/abkhazia015.htm"
"18","Republic of Abkhazia: Medal for Participation in Peacekeeping Missions",NA,"Unknown","https://medals.org.uk/abkhazia/abkhazia018.htm"
"19","Amirate of Abu Dhabi: Order of Al Nahayyan","Wisam Al Nahayyan","Unknown","https://medals.org.uk/abu-dhabi/abu-dhabi001.htm"
